security_code,security_name_abbr,apply_date,listing_date,issue_price,online_issue_shares,online_lots_total,online_valid_accounts,online_allocated_accounts,top_apply_amount_wan,fit_quality,fit_confidence,point_count,manual_point_count,usable_point_count,max_observed_threshold_wan,max_observed_accounts,source,notes,accounts_ge_100w_estimate,accounts_ge_100w_lb,accounts_ge_100w_ub,accounts_ge_100w_basis,accounts_ge_200w_estimate,accounts_ge_200w_lb,accounts_ge_200w_ub,accounts_ge_200w_basis,accounts_ge_300w_estimate,accounts_ge_300w_lb,accounts_ge_300w_ub,accounts_ge_300w_basis,accounts_ge_400w_estimate,accounts_ge_400w_lb,accounts_ge_400w_ub,accounts_ge_400w_basis,accounts_ge_500w_estimate,accounts_ge_500w_lb,accounts_ge_500w_ub,accounts_ge_500w_basis,accounts_ge_600w_estimate,accounts_ge_600w_lb,accounts_ge_600w_ub,accounts_ge_600w_basis,accounts_ge_700w_estimate,accounts_ge_700w_lb,accounts_ge_700w_ub,accounts_ge_700w_basis,accounts_ge_800w_estimate,accounts_ge_800w_lb,accounts_ge_800w_ub,accounts_ge_800w_basis,accounts_ge_900w_estimate,accounts_ge_900w_lb,accounts_ge_900w_ub,accounts_ge_900w_basis,accounts_ge_1000w_estimate,accounts_ge_1000w_lb,accounts_ge_1000w_ub,accounts_ge_1000w_basis,accounts_ge_1100w_estimate,accounts_ge_1100w_lb,accounts_ge_1100w_ub,accounts_ge_1100w_basis,accounts_ge_1200w_estimate,accounts_ge_1200w_lb,accounts_ge_1200w_ub,accounts_ge_1200w_basis,accounts_ge_1300w_estimate,accounts_ge_1300w_lb,accounts_ge_1300w_ub,accounts_ge_1300w_basis,accounts_ge_1400w_estimate,accounts_ge_1400w_lb,accounts_ge_1400w_ub,accounts_ge_1400w_basis,accounts_ge_1500w_estimate,accounts_ge_1500w_lb,accounts_ge_1500w_ub,accounts_ge_1500w_basis,accounts_ge_1600w_estimate,accounts_ge_1600w_lb,accounts_ge_1600w_ub,accounts_ge_1600w_basis,accounts_ge_1700w_estimate,accounts_ge_1700w_lb,accounts_ge_1700w_ub,accounts_ge_1700w_basis,accounts_ge_1800w_estimate,accounts_ge_1800w_lb,accounts_ge_1800w_ub,accounts_ge_1800w_basis,accounts_ge_1900w_estimate,accounts_ge_1900w_lb,accounts_ge_1900w_ub,accounts_ge_1900w_basis,accounts_ge_2000w_estimate,accounts_ge_2000w_lb,accounts_ge_2000w_ub,accounts_ge_2000w_basis,accounts_ge_2100w_estimate,accounts_ge_2100w_lb,accounts_ge_2100w_ub,accounts_ge_2100w_basis,accounts_ge_2200w_estimate,accounts_ge_2200w_lb,accounts_ge_2200w_ub,accounts_ge_2200w_basis,accounts_ge_2300w_estimate,accounts_ge_2300w_lb,accounts_ge_2300w_ub,accounts_ge_2300w_basis,accounts_ge_2400w_estimate,accounts_ge_2400w_lb,accounts_ge_2400w_ub,accounts_ge_2400w_basis,accounts_ge_2500w_estimate,accounts_ge_2500w_lb,accounts_ge_2500w_ub,accounts_ge_2500w_basis,accounts_ge_2600w_estimate,accounts_ge_2600w_lb,accounts_ge_2600w_ub,accounts_ge_2600w_basis,accounts_ge_2700w_estimate,accounts_ge_2700w_lb,accounts_ge_2700w_ub,accounts_ge_2700w_basis,accounts_ge_2800w_estimate,accounts_ge_2800w_lb,accounts_ge_2800w_ub,accounts_ge_2800w_basis,accounts_ge_2900w_estimate,accounts_ge_2900w_lb,accounts_ge_2900w_ub,accounts_ge_2900w_basis,accounts_ge_3000w_estimate,accounts_ge_3000w_lb,accounts_ge_3000w_ub,accounts_ge_3000w_basis,accounts_ge_3100w_estimate,accounts_ge_3100w_lb,accounts_ge_3100w_ub,accounts_ge_3100w_basis,accounts_ge_3200w_estimate,accounts_ge_3200w_lb,accounts_ge_3200w_ub,accounts_ge_3200w_basis,accounts_ge_3300w_estimate,accounts_ge_3300w_lb,accounts_ge_3300w_ub,accounts_ge_3300w_basis,accounts_ge_3400w_estimate,accounts_ge_3400w_lb,accounts_ge_3400w_ub,accounts_ge_3400w_basis,accounts_ge_3500w_estimate,accounts_ge_3500w_lb,accounts_ge_3500w_ub,accounts_ge_3500w_basis,accounts_ge_3600w_estimate,accounts_ge_3600w_lb,accounts_ge_3600w_ub,accounts_ge_3600w_basis,accounts_ge_3700w_estimate,accounts_ge_3700w_lb,accounts_ge_3700w_ub,accounts_ge_3700w_basis,accounts_ge_3800w_estimate,accounts_ge_3800w_lb,accounts_ge_3800w_ub,accounts_ge_3800w_basis,accounts_ge_3900w_estimate,accounts_ge_3900w_lb,accounts_ge_3900w_ub,accounts_ge_3900w_basis,accounts_ge_4000w_estimate,accounts_ge_4000w_lb,accounts_ge_4000w_ub,accounts_ge_4000w_basis,accounts_ge_4100w_estimate,accounts_ge_4100w_lb,accounts_ge_4100w_ub,accounts_ge_4100w_basis,accounts_ge_4200w_estimate,accounts_ge_4200w_lb,accounts_ge_4200w_ub,accounts_ge_4200w_basis,accounts_ge_4300w_estimate,accounts_ge_4300w_lb,accounts_ge_4300w_ub,accounts_ge_4300w_basis,accounts_ge_4400w_estimate,accounts_ge_4400w_lb,accounts_ge_4400w_ub,accounts_ge_4400w_basis,accounts_ge_4500w_estimate,accounts_ge_4500w_lb,accounts_ge_4500w_ub,accounts_ge_4500w_basis,accounts_ge_4600w_estimate,accounts_ge_4600w_lb,accounts_ge_4600w_ub,accounts_ge_4600w_basis,accounts_ge_4700w_estimate,accounts_ge_4700w_lb,accounts_ge_4700w_ub,accounts_ge_4700w_basis,accounts_ge_4800w_estimate,accounts_ge_4800w_lb,accounts_ge_4800w_ub,accounts_ge_4800w_basis,accounts_ge_4900w_estimate,accounts_ge_4900w_lb,accounts_ge_4900w_ub,accounts_ge_4900w_basis,accounts_ge_5000w_estimate,accounts_ge_5000w_lb,accounts_ge_5000w_ub,accounts_ge_5000w_basis
920081,欧伦电气,,,,,,,,,,,5,5,0,,,manual_ladder+allocation_fit,threshold estimates are interpolated from observed allocation ladder points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points
920136,永励精密,,,,,,,,,,,2,2,0,,,manual_ladder+allocation_fit,threshold estimates are interpolated from observed allocation ladder points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points
920189,康美特,,,,,,,,,,,2,2,0,,,manual_ladder+allocation_fit,threshold estimates are interpolated from observed allocation ladder points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points,,,,no_observed_points
920086,科马材料,2026-01-06,2026-01-16,11.66,18828000,188280,624494,81904,1097.6724,rough_lot_account_fit,0.7,3,2,3,909.7,53188,manual_ladder+allocation_fit,threshold estimates are interpolated from observed allocation ladder points,81904,81904,,lower_bound_below_first_observed_threshold,81904,81904,,lower_bound_below_first_observed_threshold,81904,81904,,lower_bound_below_first_observed_threshold,81904,81904,,lower_bound_below_first_observed_threshold,78587.240365,53188,81904,linear_between_observed_thresholds,71296.569154,53188,81904,linear_between_observed_thresholds,64005.897943,53188,81904,linear_between_observed_thresholds,56715.226732,53188,81904,linear_between_observed_thresholds,53188,53188,53188,linear_between_observed_thresholds,,0,53188,above_top_observed_threshold,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero
920050,爱伦医疗,2026-01-12,2026-01-21,15.98,15227851,152278.51,695842,70886,1216.5574,rough_lot_account_fit,0.7,3,2,3,1154,40696,manual_ladder+allocation_fit,threshold estimates are interpolated from observed allocation ladder points,70886,70886,,lower_bound_below_first_observed_threshold,70886,70886,,lower_bound_below_first_observed_threshold,70886,70886,,lower_bound_below_first_observed_threshold,70886,70886,,lower_bound_below_first_observed_threshold,70886,70886,,lower_bound_below_first_observed_threshold,69242.795523,40697,70886,linear_between_observed_thresholds,62086.667289,40697,70886,linear_between_observed_thresholds,54930.539056,40697,70886,linear_between_observed_thresholds,47774.410823,40697,70886,linear_between_observed_thresholds,40696.992908,40696,40697,linear_between_observed_thresholds,40696.348162,40696,40697,linear_between_observed_thresholds,,0,40696,above_top_observed_threshold,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero
920076,国亮新材,2026-01-14,2026-01-22,10.76,16240368,162403.68,728083,88524,873.712,rough_lot_account_fit,0.7,2,1,2,662.93,73880,manual_ladder+allocation_fit,threshold estimates are interpolated from observed allocation ladder points,88524,88524,,lower_bound_below_first_observed_threshold,88524,88524,,lower_bound_below_first_observed_threshold,88524,88524,,lower_bound_below_first_observed_threshold,88524,88524,,lower_bound_below_first_observed_threshold,88524,88524,,lower_bound_below_first_observed_threshold,79898.414955,73880,88524,linear_between_observed_thresholds,,0,73880,above_top_observed_threshold,,0,73880,above_top_observed_threshold,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero
920159,农大科技,2026-01-19,2026-01-28,25,14400000,144000,545871,66731,1800,rough_lot_account_fit,0.7,3,2,3,1295.5,38634,manual_ladder+allocation_fit,threshold estimates are interpolated from observed allocation ladder points,66731,66731,,lower_bound_below_first_observed_threshold,66731,66731,,lower_bound_below_first_observed_threshold,66731,66731,,lower_bound_below_first_observed_threshold,66731,66731,,lower_bound_below_first_observed_threshold,66731,66731,,lower_bound_below_first_observed_threshold,66731,66731,,lower_bound_below_first_observed_threshold,62414.630726,38635,66731,linear_between_observed_thresholds,54494.687104,38635,66731,linear_between_observed_thresholds,46574.743481,38635,66731,linear_between_observed_thresholds,38654.799859,38635,66731,linear_between_observed_thresholds,38634.662151,38634,38635,linear_between_observed_thresholds,38634.323455,38634,38635,linear_between_observed_thresholds,,0,38634,above_top_observed_threshold,,0,38634,above_top_observed_threshold,,0,38634,above_top_observed_threshold,,0,38634,above_top_observed_threshold,,0,38634,above_top_observed_threshold,,0,38634,above_top_observed_threshold,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero
920119,美德乐,2026-01-21,2026-01-30,41.88,14400000,144000,592450,60994,3015.36,rough_lot_account_fit,0.7,5,4,5,2949.2,20751,manual_ladder+allocation_fit,threshold estimates are interpolated from observed allocation ladder points,60994,60994,,lower_bound_below_first_observed_threshold,60994,60994,,lower_bound_below_first_observed_threshold,60994,60994,,lower_bound_below_first_observed_threshold,60994,60994,,lower_bound_below_first_observed_threshold,60994,60994,,lower_bound_below_first_observed_threshold,60994,60994,,lower_bound_below_first_observed_threshold,60994,60994,,lower_bound_below_first_observed_threshold,53575.456126,20752,60994,linear_between_observed_thresholds,42163.365129,20752,60994,linear_between_observed_thresholds,30751.274132,20752,60994,linear_between_observed_thresholds,20752,20752,20752,linear_between_observed_thresholds,20752,20752,20752,linear_between_observed_thresholds,20752,20752,20752,linear_between_observed_thresholds,20752,20752,20752,linear_between_observed_thresholds,20751.961715,20751,20752,linear_between_observed_thresholds,20751.826624,20751,20752,linear_between_observed_thresholds,20751.691532,20751,20752,linear_between_observed_thresholds,20751.556441,20751,20752,linear_between_observed_thresholds,20751.42135,20751,20752,linear_between_observed_thresholds,20751.286259,20751,20752,linear_between_observed_thresholds,20751.151167,20751,20752,linear_between_observed_thresholds,20751.016076,20751,20752,linear_between_observed_thresholds,20751,20751,20751,linear_between_observed_thresholds,20751,20751,20751,linear_between_observed_thresholds,20751,20751,20751,linear_between_observed_thresholds,20751,20751,20751,linear_between_observed_thresholds,20751,20751,20751,linear_between_observed_thresholds,20751,20751,20751,linear_between_observed_thresholds,20751,20751,20751,linear_between_observed_thresholds,,0,20751,above_top_observed_threshold,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero
920180,爱得科技,2026-02-02,2026-02-10,7.67,26577686,265776.86,496718,97392,1019.1896,rough_lot_account_fit,0.7,4,2,4,946.5,56128,manual_ladder+allocation_fit,threshold estimates are interpolated from observed allocation ladder points,97392,97392,,lower_bound_below_first_observed_threshold,97392,97392,,lower_bound_below_first_observed_threshold,97392,97392,,lower_bound_below_first_observed_threshold,86286.893236,56129,97392,linear_between_observed_thresholds,73197.376459,56129,97392,linear_between_observed_thresholds,60107.859683,56129,97392,linear_between_observed_thresholds,56128.431781,56128,56129,linear_between_observed_thresholds,56128,56128,56128,linear_between_observed_thresholds,56128,56128,56128,linear_between_observed_thresholds,,0,56128,above_top_observed_threshold,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero
920166,海圣医疗,2026-02-04,2026-02-12,12.64,10164707,101647.07,599409,101648,642.3648,time_priority_label_with_account_gap,0.85,1,1,1,340,101647,manual_ladder+allocation_fit,threshold estimates are interpolated from observed allocation ladder points,101647,101647,,lower_bound_below_first_observed_threshold,101647,101647,,lower_bound_below_first_observed_threshold,101647,101647,,lower_bound_below_first_observed_threshold,,0,101647,above_top_observed_threshold,,0,101647,above_top_observed_threshold,,0,101647,above_top_observed_threshold,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero,0,0,0,above_top_apply_zero
