security_code,security_name_abbr,apply_date,issue_price,online_issue_shares,top_apply_amount_wan,manual_ladder,manual_note
920011,晨光电机,2026-03-25,15.5,18600001,1441.5,1+0=482;1+1=806.93;2+1=966.74,
920012,创达新材,2026-04-01,19.58,11096411,1086.2984,1+0=728.5;1+1=顶格抢时间,
920028,新恒泰,2026-03-11,9.4,36981000,1738.06,1+0=251.2;2+0=502.4;2+1=564;3+1=753.41;6+1=顶格,
920036,觅睿科技,2026-02-26,21.52,12244950,1317.4544,1+0=676;1+1=786,
920038,森合高科,2026-07-27,29.06,17201881,2499.16,1+0=707;1+1=1220;2+1=1413;3+1=2119,
920050,爱伦医疗,2026-01-12,15.98,15227851,1216.5574,1+1=998.9;2+1=1154,
920055,隆源股份,2026-03-23,24.7,15300000,1889.55,1+0=569.2;1+1=1083.34;2+1=1138.4;3+1=1707.6,
920059,双英集团,2026-08-10,11.13,32318326,1798.4967,1+0=405;2+0=810;2+1=872;3+1=1215;4+1=1620,
920065,千岸科技,2026-07-20,24.3,15750000,1913.625,1+0=713.8;1+1=1366.88;2+1=1427.6,
920069,普昂医疗,2026-03-18,18.38,9524520,875.2556,1+1=顶格抢时间,
920071,金钛股份,2026-08-19,9.72,31500000,1530.9,1+0=421.5;2+0=843;2+1=961;3+1=1264.5,
920072,科莱瑞迪,2026-06-15,15.62,6660000,416.1168,0+1=顶格抢时间,
920076,国亮新材,2026-01-14,10.76,16240368,873.712,1+1=662.93,
920078,族兴新材,2026-03-09,6.98,20700000,722.43,1+0=334;2+0=667;2+1=顶格抢时间,
920079,乔路铭,2026-07-08,14.36,45000000,3231,1+0=293;2+0=586;3+0=879;3+1=949.91;4+1=1172;5+1=1465,
920081,欧伦电气,2026-07-01,38.69,17100000,3307.995,1+0=707.85;1+1=1250.47;2+1=1416;3+1=2124;4+1=2836,
920083,金戈新材,2026-06-01,9.65,20089392,969.246,1+0=484;2+1=顶格抢时间,
920086,科马材料,2026-01-06,11.66,18828000,1097.6724,1+1=848.38;2+1=909.7,
920093,信胜科技,2026-08-12,14.35,25200000,1808.1,1+0=537.3;2+0=1074.6;2+1=1078.3;3+1=1611.94,
920096,嘉晨智能,2026-05-06,14.43,16200000,1168.83,1+0=540.5;2+0=1081;2+1=顶格抢时间,
920107,恒兴股份,2026-08-05,16.02,18873000,1511.6472,1+0=652;2+0=1266.8;2+1=1304,
920117,龙鑫智能,2026-07-06,17.83,20214003,1802.0781,1+0=597;2+0=1194;2+1=1301.77;3+1=1791,
920119,美德乐,2026-01-21,41.88,14400000,3015.36,1+1=1087.62;2+1=1471.66;3+1=2211.9;4+1=2949.2,
920125,鸿仕达,2026-04-13,16.57,12150000,1006.6275,1+0=675.39;1+1=顶格抢时间,
920126,永大股份,2026-06-03,7.79,41868000,1630.7586,1+0=274.4;2+0=548.8;2+1=571.78;3+1=823.2;4+1=1097.46;5+1=1372,
920136,永励精密,2026-06-24,19.28,18000000,1735.2,1+1=1131.3;2+1=1217.8,
