"DateTime","open","high","low","close","volume","amount"
2026-04-16 09:30:00,40,40.99,39.51,39.9,1383874,55515276
2026-04-16 09:31:00,39.92,40.55,39.92,40.31,336609,13515446
2026-04-16 09:32:00,40.31,40.77,40.31,40.77,275055,11137546
2026-04-16 09:33:00,40.78,41.01,40.5,40.5,311992,12770139
2026-04-16 09:34:00,40.8,40.8,40.38,40.38,221238,8978819
2026-04-16 09:35:00,40.31,40.38,39.84,39.84,200445,8037058
2026-04-16 09:36:00,39.84,39.84,39.44,39.44,110776,4393574
2026-04-16 09:37:00,39.51,39.69,39.44,39.66,126677,5015388
2026-04-16 09:38:00,39.66,39.91,39.66,39.91,93886,3738365
2026-04-16 09:39:00,39.95,39.95,39.61,39.64,103854,4128644
2026-04-16 09:40:00,39.58,39.58,39.2,39.2,54642,2154685
2026-04-16 09:41:00,39.24,39.24,38.96,39.01,124249,4856102
2026-04-16 09:42:00,39,39,38.8,38.88,89154,3469724
2026-04-16 09:43:00,38.88,39,38.88,38.91,79701,3102528
2026-04-16 09:44:00,39,39,38.82,38.82,105042,4085390
2026-04-16 09:45:00,38.8,38.8,38.5,38.51,73757,2854780
2026-04-16 09:46:00,38.58,38.58,38.45,38.5,83540,3217399
2026-04-16 09:47:00,38.5,38.7,38.49,38.6,67942,2618316
2026-04-16 09:48:00,38.64,38.81,38.58,38.8,53384,2066675
2026-04-16 09:49:00,38.84,39,38.82,38.99,79202,3083729
2026-04-16 09:50:00,38.95,39,38.84,38.84,92675,3612535
2026-04-16 09:51:00,38.9,38.9,38.66,38.7,66478,2577626
2026-04-16 09:52:00,38.71,38.86,38.71,38.85,41832,1622469
2026-04-16 09:53:00,38.85,38.86,38.77,38.85,53600,2082762
2026-04-16 09:54:00,38.85,38.89,38.74,38.74,54716,2123483
2026-04-16 09:55:00,38.74,38.74,38.7,38.71,40089,1551987
2026-04-16 09:56:00,38.69,38.7,38.66,38.69,48606,1880697
2026-04-16 09:57:00,38.69,38.69,38.5,38.5,30226,1166999
2026-04-16 09:58:00,38.5,38.5,38.42,38.42,70671,2720121
2026-04-16 09:59:00,38.42,38.42,38.28,38.28,38181,1464773
2026-04-16 10:00:00,38.28,38.28,38.1,38.11,53902,2058630
2026-04-16 10:01:00,38.11,38.11,38,38.01,85665,3259300
2026-04-16 10:02:00,38,38.01,37.88,37.89,74276,2821040
2026-04-16 10:03:00,37.9,37.94,37.85,37.92,65318,2476331
2026-04-16 10:04:00,37.92,38.12,37.92,38.11,73418,2790651
2026-04-16 10:05:00,38.15,38.41,38.15,38.41,42614,1632237
2026-04-16 10:06:00,38.4,38.56,38.4,38.51,78353,3014228
2026-04-16 10:07:00,38.51,38.52,38.2,38.2,73612,2823758
2026-04-16 10:08:00,38.15,38.18,38.11,38.16,69819,2661829
2026-04-16 10:09:00,38.18,38.5,38.18,38.5,71298,2734112
